Venue,Capacity,Basketballteam(s),Location,Country,Image
America First Event Center,5300,Southern Utah Thunderbirds men's and women's basketball,Cedar City,United States,
Cairns Convention Centre,5300,Cairns Taipans,Cairns,Australia,
McGuirk Arena,5300,Central Michigan Chippewas men's and women's basketball,Mount Pleasant,United States,
PalaLeonessa,5200,Basket Brescia Leonessa,Brescia,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/PalaLeonessa201812.jpg/150px-PalaLeonessa201812.jpg
AIS Arena,5200,University of Canberra Capitals,Canberra,Australia,
Binghamton University Events Center,5142,Binghamton Bearcats,Binghamton,United States,
Alexandreio Melathron Nick Galis Hall,5138,Aris BC,Thessaloniki,Greece,
Christl Arena,5034,Army Black Knights men's and women's basketball,West Point,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Christl_Arena_2023_01_21.jpg/150px-Christl_Arena_2023_01_21.jpg
Athletics–Recreation Center,5000,Valparaiso Beacons men's and women's basketball,Valparaiso,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Athletics-Recreation_Center_panorama.jpg/150px-Athletics-Recreation_Center_panorama.jpg
Charles E. Smith Center,5000,George Washington Revolutionaries men's basketball,"Washington, D.C.",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/GW_Smith_Center.JPG/150px-GW_Smith_Center.JPG
CNA Arena Akita,5000,Akita Northern Happinets,Akita,Japan,
Edmunds Center,5000,Stetson Hatters men's basketball,DeLand,United States,
Filoil Flying V Centre,5000,All NCAA (Philippines) college teams and UAAP juniors teams,San Juan City,Philippines,
Ocean Bank Convocation Center,5000,FIU Panthers men's basketball,Westchester,United States,
Provident Credit Union Event Center,5000,San Jose State Spartans men's basketball,San Jose,United States,
Romema Arena,5000,"Maccabi Haifa, Hapoel Haifa",Haifa,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Romema_Arena.jpg/150px-Romema_Arena.jpg
The BritAma Arena,5000,Satria Muda Pertamina,Jakarta,Indonesia,
