Venue,Capacity,Basketballteam(s),Location,Country,Image,LatLong
Beasley Coliseum,12058,Washington State Cougars men's basketball,Pullman,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Beasley_Coliseum%2C_Pullman_WA%2C_March_2024.jpg/150px-Beasley_Coliseum%2C_Pullman_WA%2C_March_2024.jpg,"[29.49839, -95.91642]"
Fifth Third Arena,12012,Cincinnati Bearcats men's and women's basketball,Cincinnati,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Renovated_Fifth_Third_Arena_Interior_3.jpg/150px-Renovated_Fifth_Third_Arena_Interior_3.jpg,"[35.23523, -80.8509]"
Lawlor Events Center,12000,Nevada Wolf Pack men's and women's basketball,Reno,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.06983, -92.15199]"
Peace and Friendship Stadium,12000,Olympiacos BC,Piraeus,Greece,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Peace_and_Friendship_stadium_02_03_2014.JPG/150px-Peace_and_Friendship_stadium_02_03_2014.JPG,"[42.20788, -78.13363]"
Don Haskins Center,11892,UTEP Miners men's and women's basketball,El Paso,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Don_Haskins_Center_UTEP_Interior.jpg/150px-Don_Haskins_Center_UTEP_Interior.jpg,"[41.46539, -83.70527]"
Haas Pavilion,11858,California Golden Bears men's basketball,Berkeley,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Haas_Pavilion_Court.jpg/150px-Haas_Pavilion_Court.jpg,"[37.86944, -122.26164]"
Cajundome,11550,Louisiana Ragin' Cajuns men's basketball,Lafayette,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Cajundome_Afternoon.JPG/150px-Cajundome_Afternoon.JPG,"[30.21975, -92.04206]"
Murphy Center,11520,Middle Tennessee Blue Raiders men's and women's basketball,Murfreesboro,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.4899, -90.49635]"
Dee Events Center,11500,Weber State Wildcats,Ogden,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.25954, -80.0334]"
John E. Worthen Arena,11500,Ball State Cardinals men and women's basketball,"Muncie, Indiana",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.42069, -71.21697]"
Kaplan Arena,11300,William & Mary Tribe men's basketball,Williamsburg,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.11046, -74.73498]"
